what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452792710834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1452792712739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452792757743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793072895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793074315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793114875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793232804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793238393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793240105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793241156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793248866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793256192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793260098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793261902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793262518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793262732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793271452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793278406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793279148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793280173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793433190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793439582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793440462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793493675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793494160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793520340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452793839307
